time_s,Fx_N,Fy_N,Fz_N
0.002,0.0,0.0,0.0
0.004,0.0,0.0,0.0
0.006,0.0,0.0,0.0
0.008,0.0,0.0,0.0
0.01,0.0,0.0,0.0
0.012,0.0,0.0,0.0
0.014,0.0,0.0,0.0
0.016,2.5948750592714754e-16,0.000211438615758732,-1.0299920638612292e-18
0.018000000000000002,3.9781311865751097e-16,0.015038266603439035,-1.0885389811754465e-16
0.020000000000000004,0.0,0.0,0.0
0.022000000000000006,0.0,0.0,0.0
0.024000000000000007,0.0,0.0,0.0
0.02600000000000001,4.537066233011402e-16,-0.003350531952026205,1.3900521962502476e-10
0.02800000000000001,6.628864354144742e-16,-0.0027675351732180634,2.655446660391236e-10
0.030000000000000013,1.0705396444927718e-16,-0.0022809424247434043,3.8990407188790254e-10
0.032000000000000015,-1.1392714974202886e-15,-0.0018744115331633922,5.105548854074402e-10
0.034000000000000016,-6.188051688855838e-16,-0.0015342341423073842,6.190834589660472e-10
0.03600000000000002,6.544332692404783e-16,-0.0012490892734321496,7.017797837012756e-10
0.03800000000000002,-1.4924025529384419e-15,-0.0010103343703368223,7.572625819825054e-10
0.04000000000000002,-1.6626917448143768e-15,-0.0008107822422761121,7.879433001444847e-10
0.04200000000000002,-2.7832981655022243e-16,-0.0006443586555185113,7.975251777993421e-10
0.044000000000000025,-4.140511441811823e-16,-0.0005059134256691148,7.900260943846119e-10
0.04600000000000003,-1.7757460411448567e-15,-0.0003910762785337013,7.692854316797671e-10
0.04800000000000003,1.3275587401005314e-16,-0.00029613961160857363,7.387597619121202e-10
0.05000000000000003,-9.16292512740263e-16,-0.00021795974321748817,7.014497951901931e-10
0.05200000000000003,-1.401880024858421e-15,-0.00015387253880830038,6.598708473048688e-10
0.054000000000000034,-3.75828408768887e-18,-0.00010162112749332216,6.16079689887299e-10
0.056000000000000036,-1.308994649612195e-15,-5.929413246812225e-05,5.716909901692508e-10
0.05800000000000004,-3.4592214767476436e-16,-2.5287036830269903e-05,5.281600001214989e-10
0.06000000000000004,0.0,0.0,0.0
0.06200000000000004,0.0,0.0,0.0
0.06400000000000004,0.0,0.0,0.0
0.06600000000000004,0.0,0.0,0.0
0.06800000000000005,0.0,0.0,0.0
0.07000000000000005,0.0,0.0,0.0
0.07200000000000005,0.0,0.0,0.0
0.07400000000000005,0.0,0.0,0.0
0.07600000000000005,0.0,0.0,0.0
0.07800000000000006,0.0,0.0,0.0
0.08000000000000006,0.0,0.0,0.0
0.08200000000000006,0.0,0.0,0.0
0.08400000000000006,0.0,0.0,0.0
0.08600000000000006,0.0,0.0,0.0
0.08800000000000006,0.0,0.0,0.0
0.09000000000000007,0.0,0.0,0.0
0.09200000000000007,0.0,0.0,0.0
0.09400000000000007,0.0,0.0,0.0
0.09600000000000007,0.0,0.0,0.0
0.09800000000000007,0.0,0.0,0.0
0.10000000000000007,0.0,0.0,0.0
0.10200000000000008,0.0,0.0,0.0
0.10400000000000008,0.0,0.0,0.0
0.10600000000000008,0.0,0.0,0.0
0.10800000000000008,0.0,0.0,0.0
0.11000000000000008,0.0,0.0,0.0
0.11200000000000009,0.0,0.0,0.0
0.11400000000000009,0.0,0.0,0.0
0.11600000000000009,0.0,0.0,0.0
0.11800000000000009,0.0,0.0,0.0
0.12000000000000009,0.0,0.0,0.0
0.1220000000000001,0.0,0.0,0.0
0.1240000000000001,0.0,0.0,0.0
0.12600000000000008,0.0,0.0,0.0
0.12800000000000009,0.0,0.0,0.0
0.1300000000000001,0.0,0.0,0.0
0.1320000000000001,0.0,0.0,0.0
0.1340000000000001,0.0,0.0,0.0
0.1360000000000001,0.0,0.0,0.0
0.1380000000000001,0.0,0.0,0.0
0.1400000000000001,0.0,0.0,0.0
0.1420000000000001,0.0,0.0,0.0
0.1440000000000001,0.0,0.0,0.0
0.1460000000000001,0.0,0.0,0.0
0.1480000000000001,0.0,0.0,0.0
0.1500000000000001,0.0,0.0,0.0
0.1520000000000001,0.0,0.0,0.0
0.1540000000000001,0.0,0.0,0.0
0.1560000000000001,0.0,0.0,0.0
0.1580000000000001,0.0,0.0,0.0
0.16000000000000011,0.0,0.0,0.0
0.16200000000000012,0.0,0.0,0.0
0.16400000000000012,0.0,0.0,0.0
0.16600000000000012,0.0,0.0,0.0
0.16800000000000012,0.0,0.0,0.0
0.17000000000000012,0.0,0.0,0.0
0.17200000000000013,0.0,0.0,0.0
0.17400000000000013,0.0,0.0,0.0
0.17600000000000013,0.0,0.0,0.0
0.17800000000000013,0.0,0.0,0.0
0.18000000000000013,0.0,0.0,0.0
0.18200000000000013,0.0,0.0,0.0
0.18400000000000014,0.0,0.0,0.0
0.18600000000000014,0.0,0.0,0.0
0.18800000000000014,0.0,0.0,0.0
0.19000000000000014,0.0,0.0,0.0
0.19200000000000014,0.0,0.0,0.0
0.19400000000000014,0.0,0.0,0.0
0.19600000000000015,0.0,0.0,0.0
0.19800000000000015,0.0,0.0,0.0
0.20000000000000015,0.0,0.0,0.0
0.20200000000000015,0.0,0.0,0.0
0.20400000000000015,0.0,0.0,0.0
0.20600000000000016,0.0,0.0,0.0
0.20800000000000016,0.0,0.0,0.0
0.21000000000000016,0.0,0.0,0.0
0.21200000000000016,0.0,0.0,0.0
0.21400000000000016,0.0,0.0,0.0
0.21600000000000016,0.0,0.0,0.0
0.21800000000000017,0.0,0.0,0.0
0.22000000000000017,0.0,0.0,0.0
0.22200000000000017,0.0,0.0,0.0
0.22400000000000017,0.0,0.0,0.0
0.22600000000000017,0.0,0.0,0.0
0.22800000000000017,0.0,0.0,0.0
0.23000000000000018,0.0,0.0,0.0
0.23200000000000018,0.0,0.0,0.0
0.23400000000000018,0.0,0.0,0.0
0.23600000000000018,0.0,0.0,0.0
0.23800000000000018,0.0,0.0,0.0
0.24000000000000019,0.0,0.0,0.0
0.2420000000000002,0.0,0.0,0.0
0.2440000000000002,0.0,0.0,0.0
0.2460000000000002,0.0,0.0,0.0
0.2480000000000002,0.0,0.0,0.0
0.25000000000000017,0.0,0.0,0.0
0.25200000000000017,0.0,0.0,0.0
0.25400000000000017,0.0,0.0,0.0
0.25600000000000017,0.0,0.0,0.0
0.2580000000000002,0.0,0.0,0.0
0.2600000000000002,0.0,0.0,0.0
0.2620000000000002,0.0,0.0,0.0
0.2640000000000002,0.0,0.0,0.0
0.2660000000000002,0.0,0.0,0.0
0.2680000000000002,0.0,0.0,0.0
0.2700000000000002,0.0,0.0,0.0
0.2720000000000002,0.0,0.0,0.0
0.2740000000000002,0.0,0.0,0.0
0.2760000000000002,0.0,0.0,0.0
0.2780000000000002,0.0,0.0,0.0
0.2800000000000002,0.0,0.0,0.0
0.2820000000000002,0.0,0.0,0.0
0.2840000000000002,0.0,0.0,0.0
0.2860000000000002,0.0,0.0,0.0
0.2880000000000002,0.0,0.0,0.0
0.2900000000000002,0.0,0.0,0.0
0.2920000000000002,0.0,0.0,0.0
0.2940000000000002,0.0,0.0,0.0
0.2960000000000002,0.0,0.0,0.0
0.2980000000000002,0.0,0.0,0.0
0.3000000000000002,0.0,0.0,0.0
0.3020000000000002,0.0,0.0,0.0
0.3040000000000002,0.0,0.0,0.0
