step,time_s,contact_force_N,crank_rpm
187,0.376000,0.000000,9.1176
188,0.378000,0.000000,9.1173
189,0.380000,0.000000,9.1169
190,0.382000,0.000000,9.1166
191,0.384000,0.000000,9.1163
192,0.386000,0.000000,9.1159
193,0.388000,0.000000,9.1156
194,0.390000,0.000000,9.1153
195,0.392000,0.000000,9.1149
196,0.394000,0.000000,9.1146
197,0.396000,0.000000,9.1143
198,0.398000,0.000000,9.1140
199,0.400000,0.000000,9.1136
200,0.402000,0.000000,9.1133
201,0.404000,0.000000,9.1130
202,0.406000,0.000000,9.1126
203,0.408000,0.000000,9.1123
204,0.410000,0.000000,9.1120
205,0.412000,0.000000,9.1116
206,0.414000,0.000000,9.1113
207,0.416000,0.000000,9.1110
208,0.418000,0.000000,9.1106
209,0.420000,0.000000,9.1103
210,0.422000,0.000000,9.1100
211,0.424000,0.000000,9.1097
212,0.426000,0.000000,9.1093
213,0.428000,0.000000,9.1090
214,0.430000,0.000000,9.1087
215,0.432000,0.000000,9.1083
216,0.434000,0.000000,9.1080
217,0.436000,0.000000,9.1077
218,0.438000,0.000000,9.1074
219,0.440000,0.000000,9.1070
220,0.442000,0.000000,9.1067
221,0.444000,0.000000,9.1064
222,0.446000,0.000000,9.1060
223,0.448000,0.000000,9.1057
224,0.450000,0.000000,9.1054
225,0.452000,0.000000,9.1051
226,0.454000,0.000000,9.1047
227,0.456000,0.000000,9.1044
228,0.458000,0.000000,9.1041
229,0.460000,0.000000,9.1038
230,0.462000,0.000000,9.1034
231,0.464000,0.000000,9.1031
232,0.466000,0.000000,9.1028
233,0.468000,0.000000,9.1025
234,0.470000,0.000000,9.1021
235,0.472000,0.000000,9.1018
236,0.474000,0.000000,9.1015
237,0.476000,0.000000,9.1012
238,0.478000,0.000000,9.1009
239,0.480000,0.000000,9.1005
240,0.482000,0.000000,9.1002
241,0.484000,0.000000,9.0999
242,0.486000,0.000000,9.0996
243,0.488000,0.000000,9.0992
244,0.490000,0.000000,9.0989
245,0.492000,0.000000,9.0986
246,0.494000,0.000000,9.0983
247,0.496000,0.000000,9.0980
248,0.498000,0.000000,9.0976
249,0.500000,0.000000,9.0973
250,0.502000,0.000000,9.0970
251,0.504000,0.000000,9.0967
252,0.506000,0.000000,9.0964
253,0.508000,0.000000,9.0960
254,0.510000,0.000000,9.0957
255,0.512000,0.000000,9.0954
256,0.514000,0.000000,9.0951
257,0.516000,0.000000,9.0948
258,0.518000,0.000000,9.0945
259,0.520000,0.000000,9.0941
260,0.522000,0.000000,9.0938
261,0.524000,0.000000,9.0935
262,0.526000,0.000000,9.0932
263,0.528000,0.000000,9.0929
264,0.530000,0.000000,9.0926
265,0.532000,0.000000,9.0922
266,0.534000,0.000000,9.0919
267,0.536000,0.000000,9.0916
268,0.538000,0.000000,9.0913
269,0.540000,0.000000,9.0910
270,0.542000,0.000000,9.0907
271,0.544000,0.000000,9.0904
272,0.546000,0.000000,9.0901
273,0.548000,0.000000,9.0897
274,0.550000,0.000000,9.0894
275,0.552000,0.000000,9.0891
276,0.554000,0.000000,9.0888
277,0.556000,0.000000,9.0885
278,0.558000,0.000000,9.0882
279,0.560000,0.000000,9.0879
280,0.562000,0.000000,9.0876
281,0.564000,0.000000,9.0873
282,0.566000,0.000000,9.0869
283,0.568000,0.000000,9.0866
284,0.570000,0.000000,9.0863
285,0.572000,0.000000,9.0860
286,0.574000,0.000000,9.0857
287,0.576000,0.000000,9.0854
288,0.578000,0.000000,9.0851
289,0.580000,0.000000,9.0848
290,0.582000,0.000000,9.0845
291,0.584000,0.000000,9.0842
292,0.586000,0.000000,9.0839
293,0.588000,0.000000,9.0836
294,0.590000,0.000000,9.0833
295,0.592000,0.000000,9.0830
296,0.594000,0.000000,9.0826
297,0.596000,0.000000,9.0823
298,0.598000,0.000000,9.0820
299,0.600000,0.000000,9.0817
300,0.602000,0.000000,9.0814
301,0.604000,0.000000,9.0811
302,0.606000,0.000000,9.0808
303,0.608000,0.000000,9.0805
304,0.610000,0.000000,9.0802
305,0.612000,0.000000,9.0799
306,0.614000,0.000000,9.0796
307,0.616000,0.000000,9.0793
308,0.618000,0.000000,9.0790
309,0.620000,0.000000,9.0787
310,0.622000,0.000000,9.0784
311,0.624000,0.000000,9.0781
312,0.626000,0.000000,9.0778
313,0.628000,0.000000,9.0775
314,0.630000,0.000000,9.0772
315,0.632000,0.000000,9.0769
316,0.634000,0.000000,9.0766
317,0.636000,0.000000,9.0763
318,0.638000,0.000000,9.0760
319,0.640000,0.000000,9.0757
320,0.642000,0.000000,9.0754
321,0.644000,0.000000,9.0751
322,0.646000,0.000000,9.0748
323,0.648000,0.000000,9.0746
324,0.650000,0.000000,9.0743
325,0.652000,0.000000,9.0740
326,0.654000,0.000000,9.0737
327,0.656000,0.000000,9.0734
328,0.658000,0.000000,9.0731
329,0.660000,0.000000,9.0728
330,0.662000,0.000000,9.0725
331,0.664000,0.000000,9.0722
332,0.666000,0.000000,9.0719
333,0.668000,0.000000,9.0716
334,0.670000,0.000000,9.0713
335,0.672000,0.000000,9.0710
336,0.674000,0.000000,9.0708
337,0.676000,0.000000,9.0705
338,0.678000,0.000000,9.0702
339,0.680000,0.000000,9.0699
340,0.682000,0.000000,9.0696
341,0.684000,0.000000,9.0693
342,0.686000,0.000000,9.0690
343,0.688000,0.000000,9.0687
344,0.690000,0.000000,9.0684
345,0.692000,0.000000,9.0682
346,0.694000,0.000000,9.0679
347,0.696000,0.000000,9.0676
348,0.698000,0.000000,9.0673
349,0.700000,0.000000,9.0670
350,0.702000,0.000000,9.0667
351,0.704000,0.000000,9.0665
352,0.706000,0.000000,9.0662
353,0.708000,0.000000,9.0659
354,0.710000,0.000000,9.0656
355,0.712000,0.000000,9.0653
356,0.714000,0.000000,9.0650
357,0.716000,0.000000,9.0648
358,0.718000,0.000000,9.0645
359,0.720000,0.000000,9.0642
360,0.722000,0.000000,9.0639
361,0.724000,0.000000,9.0636
362,0.726000,0.000000,9.0634
363,0.728000,0.000000,9.0631
364,0.730000,0.000000,9.0628
365,0.732000,0.000000,9.0625
366,0.734000,0.000000,9.0622
367,0.736000,0.000000,9.0620
368,0.738000,0.000000,9.0617
369,0.740000,0.000000,9.0614
370,0.742000,0.000000,9.0611
371,0.744000,0.000000,9.0609
372,0.746000,0.000000,9.0606
373,0.748000,0.000000,9.0603
374,0.750000,0.000000,9.0600
375,0.752000,0.000000,9.0598
376,0.754000,0.000000,9.0595
377,0.756000,0.000000,9.0592
378,0.758000,0.000000,9.0589
379,0.760000,0.000000,9.0587
380,0.762000,0.000000,9.0584
381,0.764000,0.000000,9.0581
382,0.766000,0.000000,9.0579
383,0.768000,0.000000,9.0576
384,0.770000,0.000000,9.0573
385,0.772000,0.000000,9.0571
386,0.774000,0.000000,9.0568
387,0.776000,0.000000,9.0565
388,0.778000,0.000000,9.0563
389,0.780000,0.000000,9.0560
390,0.782000,0.000000,9.0557
391,0.784000,0.000000,9.0555
392,0.786000,0.000000,9.0552
393,0.788000,0.000000,9.0549
394,0.790000,0.000000,9.0547
395,0.792000,0.000000,9.0544
396,0.794000,0.000000,9.0541
397,0.796000,0.000000,9.0539
398,0.798000,0.000000,9.0536
399,0.800000,0.000000,9.0533
400,0.802000,0.000000,9.0531
401,0.804000,0.000000,9.0528
402,0.806000,0.000000,9.0526
403,0.808000,0.000000,9.0523
404,0.810000,0.000000,9.0520
405,0.812000,0.000000,9.0518
406,0.814000,0.000000,9.0515
407,0.816000,0.000000,9.0513
408,0.818000,0.000000,9.0510
409,0.820000,0.000000,9.0507
410,0.822000,0.000000,9.0505
411,0.824000,0.000000,9.0502
412,0.826000,0.000000,9.0500
413,0.828000,0.000000,9.0497
414,0.830000,0.000000,9.0495
415,0.832000,0.000000,9.0492
416,0.834000,0.000000,9.0489
417,0.836000,0.000000,9.0487
418,0.838000,0.000000,9.0484
419,0.840000,0.000000,9.0482
420,0.842000,0.000000,9.0479
421,0.844000,0.000000,9.0477
422,0.846000,0.000000,9.0474
423,0.848000,0.000000,9.0472
424,0.850000,0.000000,9.0469
425,0.852000,0.000000,9.0467
426,0.854000,0.000000,9.0464
427,0.856000,0.000000,9.0462
428,0.858000,0.000000,9.0459
429,0.860000,0.000000,9.0457
430,0.862000,0.000000,9.0454
431,0.864000,0.000000,9.0452
432,0.866000,0.000000,9.0449
433,0.868000,0.000000,9.0447
434,0.870000,0.000000,9.0444
435,0.872000,0.000000,9.0442
436,0.874000,0.000000,9.0440
437,0.876000,0.000000,9.0437
438,0.878000,0.000000,9.0435
439,0.880000,0.000000,9.0432
440,0.882000,0.000000,9.0430
441,0.884000,0.000000,9.0427
442,0.886000,0.000000,9.0425
443,0.888000,0.000000,9.0423
444,0.890000,0.000000,9.0420
445,0.892000,0.000000,9.0418
446,0.894000,0.000000,9.0415
447,0.896000,0.000000,9.0413
448,0.898000,0.000000,9.0411
449,0.900000,0.000000,9.0408
450,0.902000,0.000000,9.0406
451,0.904000,0.000000,9.0403
452,0.906000,0.000000,9.0401
453,0.908000,0.000000,9.0399
454,0.910000,0.000000,9.0396
455,0.912000,0.000000,9.0394
456,0.914000,0.000000,9.0392
457,0.916000,0.000000,9.0389
458,0.918000,0.000000,9.0387
459,0.920000,0.000000,9.0385
460,0.922000,0.000000,9.0382
461,0.924000,0.000000,9.0380
462,0.926000,0.000000,9.0378
463,0.928000,0.000000,9.0375
464,0.930000,0.000000,9.0373
465,0.932000,0.000000,9.0371
466,0.934000,0.000000,9.0368
467,0.936000,0.000000,9.0366
468,0.938000,0.000000,9.0364
469,0.940000,0.000000,9.0362
470,0.942000,0.000000,9.0359
471,0.944000,0.000000,9.0357
472,0.946000,0.000000,9.0355
473,0.948000,0.000000,9.0353
474,0.950000,0.000000,9.0350
475,0.952000,0.000000,9.0348
476,0.954000,0.000000,9.0346
477,0.956000,0.000000,9.0344
478,0.958000,0.000000,9.0341
479,0.960000,0.000000,9.0339
480,0.962000,0.000000,9.0337
481,0.964000,0.000000,9.0335
482,0.966000,0.000000,9.0333
483,0.968000,0.000000,9.0330
484,0.970000,0.000000,9.0328
485,0.972000,0.000000,9.0326
486,0.974000,0.000000,9.0324
487,0.976000,0.000000,9.0322
488,0.978000,0.000000,9.0319
489,0.980000,0.000000,9.0317
490,0.982000,0.000000,9.0315
491,0.984000,0.000000,9.0313
492,0.986000,0.000000,9.0311
493,0.988000,0.000000,9.0309
494,0.990000,0.000000,9.0307
495,0.992000,0.000000,9.0304
496,0.994000,0.000000,9.0302
497,0.996000,0.000000,9.0300
498,0.998000,0.000000,9.0298
499,1.000000,0.000000,9.0296
500,1.002000,0.000000,9.0294
501,1.004000,0.000000,9.0292
502,1.006000,0.000000,9.0290
503,1.008000,0.000000,9.0287
504,1.010000,0.000000,9.0285
505,1.012000,0.000000,9.0283
506,1.014000,0.000000,9.0281
507,1.016000,0.000000,9.0279
508,1.018000,0.000000,9.0277
509,1.020000,0.000000,9.0275
510,1.022000,0.000000,9.0273
511,1.024000,0.000000,9.0271
