step,time_s,contact_force_N,crank_rpm
187,0.376000,0.000000,15.8236
188,0.378000,0.000000,15.8053
189,0.380000,0.000000,15.7872
190,0.382000,0.000000,15.7692
191,0.384000,0.000000,15.7512
192,0.386000,0.000000,15.7334
193,0.388000,0.000000,15.7157
194,0.390000,0.000000,15.6981
195,0.392000,0.000000,15.6805
196,0.394000,0.000000,15.6631
197,0.396000,0.000000,15.6458
198,0.398000,0.000000,15.6286
199,0.400000,0.000000,15.6114
200,0.402000,0.000000,15.5944
201,0.404000,0.000000,15.5775
202,0.406000,0.000000,15.5607
203,0.408000,0.000000,15.5439
204,0.410000,0.000000,15.5273
205,0.412000,0.000000,15.5107
206,0.414000,0.000000,15.4943
207,0.416000,0.000000,15.4779
208,0.418000,0.000000,15.4617
209,0.420000,0.000000,15.4455
210,0.422000,0.000000,15.4294
211,0.424000,0.000000,15.4135
212,0.426000,0.000000,15.3976
213,0.428000,0.000000,15.3818
214,0.430000,0.000000,15.3661
215,0.432000,0.000000,15.3505
216,0.434000,0.000000,15.3350
217,0.436000,0.000000,15.3195
218,0.438000,0.000000,15.3042
219,0.440000,0.000000,15.2889
220,0.442000,0.000000,15.2738
221,0.444000,0.000000,15.2587
222,0.446000,0.000000,15.2437
223,0.448000,0.000000,15.2288
224,0.450000,0.000000,15.2140
225,0.452000,0.000000,15.1993
226,0.454000,0.000000,15.1846
227,0.456000,0.000000,15.1701
228,0.458000,0.000000,15.1556
229,0.460000,0.000000,15.1413
230,0.462000,0.000000,15.1270
231,0.464000,0.000000,15.1128
232,0.466000,0.000000,15.0986
233,0.468000,0.000000,15.0846
234,0.470000,0.000000,15.0706
235,0.472000,0.000000,15.0568
236,0.474000,0.000000,15.0430
237,0.476000,0.000000,15.0293
238,0.478000,0.000000,15.0157
239,0.480000,0.000000,15.0021
240,0.482000,0.000000,14.9886
241,0.484000,0.000000,14.9753
242,0.486000,0.000000,14.9620
243,0.488000,0.000000,14.9487
244,0.490000,0.000000,14.9356
245,0.492000,0.000000,14.9226
246,0.494000,0.000000,14.9096
247,0.496000,0.000000,14.8967
248,0.498000,0.000000,14.8838
249,0.500000,0.000000,14.8711
250,0.502000,0.000000,14.8584
251,0.504000,0.000000,14.8459
252,0.506000,0.000000,14.8333
253,0.508000,0.000000,14.8209
254,0.510000,0.000000,14.8086
255,0.512000,0.000000,14.7963
256,0.514000,0.000000,14.7841
257,0.516000,0.000000,14.7719
