step,time_s,contact_force_N
265,0.532000,0.000000
266,0.534000,0.000000
267,0.536000,0.000000
268,0.538000,0.000000
269,0.540000,0.000000
270,0.542000,0.000000
271,0.544000,0.000000
272,0.546000,0.000000
273,0.548000,0.000000
274,0.550000,0.000000
275,0.552000,0.000000
276,0.554000,0.000000
277,0.556000,0.000000
278,0.558000,0.000000
279,0.560000,0.000000
280,0.562000,0.000000
281,0.564000,0.000000
282,0.566000,0.000000
283,0.568000,0.000000
284,0.570000,0.000000
285,0.572000,0.000000
286,0.574000,0.000000
287,0.576000,0.000000
288,0.578000,0.000000
289,0.580000,0.000000
290,0.582000,0.000000
291,0.584000,0.000000
292,0.586000,0.000000
293,0.588000,0.000000
294,0.590000,0.000000
295,0.592000,0.000000
296,0.594000,0.000000
297,0.596000,0.000000
298,0.598000,0.000000
299,0.600000,0.000000
300,0.602000,0.000000
301,0.604000,0.000000
302,0.606000,0.000000
303,0.608000,0.000000
304,0.610000,0.000000
305,0.612000,0.000000
306,0.614000,0.000000
307,0.616000,0.000000
308,0.618000,0.000000
309,0.620000,0.000000
310,0.622000,0.000000
311,0.624000,0.000000
312,0.626000,0.000000
313,0.628000,0.000000
314,0.630000,0.000000
315,0.632000,0.000000
316,0.634000,0.000000
317,0.636000,0.000000
318,0.638000,0.000000
319,0.640000,0.000000
320,0.642000,0.000000
321,0.644000,0.000000
322,0.646000,0.000000
323,0.648000,0.000000
324,0.650000,0.000000
325,0.652000,0.000000
326,0.654000,0.000000
327,0.656000,0.000000
328,0.658000,0.000000
329,0.660000,0.000000
330,0.662000,0.000000
331,0.664000,0.000000
332,0.666000,0.000000
333,0.668000,0.000000
334,0.670000,0.000000
335,0.672000,0.000000
336,0.674000,0.000000
337,0.676000,0.000000
338,0.678000,0.000000
339,0.680000,0.000000
340,0.682000,0.000000
341,0.684000,0.000000
342,0.686000,0.000000
343,0.688000,0.000000
344,0.690000,0.000000
345,0.692000,0.000000
346,0.694000,0.000000
347,0.696000,0.911836
348,0.698000,1.746756
349,0.700000,2.859687
350,0.702000,4.119414
351,0.704000,5.409996
352,0.706000,6.626427
353,0.708000,7.689555
354,0.710000,8.546917
355,0.712000,9.174897
356,0.714000,9.577335
357,0.716000,9.780082
358,0.718000,9.824416
359,0.720000,9.752926
360,0.722000,9.616784
361,0.724000,9.461553
362,0.726000,9.328732
363,0.728000,9.252724
364,0.730000,9.257894
365,0.732000,9.356748
366,0.734000,9.550155
367,0.736000,9.829337
368,0.738000,10.178774
369,0.740000,10.579227
370,0.742000,11.010453
371,0.744000,11.453405
372,0.746000,11.891857
373,0.748000,12.313435
374,0.750000,12.710098
375,0.752000,13.078112
376,0.754000,13.417616
377,0.756000,13.731891
378,0.758000,14.026450
379,0.760000,14.308084
380,0.762000,14.583966
381,0.764000,14.860884
382,0.766000,15.144660
383,0.768000,15.886054
384,0.770000,16.654347
385,0.772000,17.625367
386,0.774000,18.759801
387,0.776000,20.020849
388,0.778000,21.378789
389,0.780000,22.797142
390,0.782000,24.244624
391,0.784000,25.689786
392,0.786000,27.100714
393,0.788000,28.444439
394,0.790000,29.686654
395,0.792000,30.792442
396,0.794000,31.729071
397,0.796000,32.471589
398,0.798000,33.010378
399,0.800000,33.357035
400,0.802000,33.543578
401,0.804000,33.613112
402,0.806000,33.608203
403,0.808000,33.552224
404,0.810000,33.465162
405,0.812000,33.353557
406,0.814000,33.220700
407,0.816000,33.069197
408,0.818000,32.902023
409,0.820000,32.722718
410,0.822000,32.535239
411,0.824000,32.343700
412,0.826000,32.152133
413,0.828000,31.964304
414,0.830000,31.783596
415,0.832000,31.612947
416,0.834000,31.454819
417,0.836000,31.311186
418,0.838000,31.183536
419,0.840000,31.072891
420,0.842000,30.979823
421,0.844000,30.904487
422,0.846000,30.846657
423,0.848000,30.805765
424,0.850000,30.780946
425,0.852000,30.771083
426,0.854000,30.774862
427,0.856000,30.790812
428,0.858000,30.817361
429,0.860000,30.852876
430,0.862000,30.895707
431,0.864000,30.944227
432,0.866000,30.996865
433,0.868000,31.052136
434,0.870000,31.108663
435,0.872000,31.165198
436,0.874000,31.220631
437,0.876000,31.274005
438,0.878000,31.324513
439,0.880000,31.371501
440,0.882000,31.414465
441,0.884000,31.453040
442,0.886000,31.486994
443,0.888000,31.516216
444,0.890000,31.540706
445,0.892000,31.560555
446,0.894000,31.575941
447,0.896000,31.587108
448,0.898000,31.594355
449,0.900000,31.598026
450,0.902000,31.598495
451,0.904000,31.596155
452,0.906000,31.591411
453,0.908000,31.584667
454,0.910000,31.576318
455,0.912000,31.566749
456,0.914000,31.556320
457,0.916000,31.545368
458,0.918000,31.534201
459,0.920000,31.523096
460,0.922000,31.512294
461,0.924000,31.502003
462,0.926000,31.492396
463,0.928000,31.483611
464,0.930000,31.475753
465,0.932000,31.468896
466,0.934000,31.463084
467,0.936000,31.458333
468,0.938000,31.454636
469,0.940000,31.451963
470,0.942000,31.450268
471,0.944000,31.449488
472,0.946000,31.449547
473,0.948000,31.450362
474,0.950000,31.451842
475,0.952000,31.453892
476,0.954000,31.456416
477,0.956000,31.459319
478,0.958000,31.462507
479,0.960000,31.465893
480,0.962000,31.469394
481,0.964000,31.472932
482,0.966000,31.476440
483,0.968000,31.479857
484,0.970000,31.483130
485,0.972000,31.486216
486,0.974000,31.489080
487,0.976000,31.491695
488,0.978000,31.494041
489,0.980000,31.496108
490,0.982000,31.497890
491,0.984000,31.499389
492,0.986000,31.500610
493,0.988000,31.501567
494,0.990000,31.502273
495,0.992000,31.502747
496,0.994000,31.503011
497,0.996000,31.503086
498,0.998000,31.502996
499,1.000000,31.502766
500,1.002000,31.502420
501,1.004000,31.501981
502,1.006000,31.501472
503,1.008000,31.500914
504,1.010000,31.500327
505,1.012000,31.499729
506,1.014000,31.499136
507,1.016000,31.498562
508,1.018000,31.498019
509,1.020000,31.497517
510,1.022000,31.497063
511,1.024000,31.496663
512,1.026000,31.496322
513,1.028000,31.496040
514,1.030000,31.495820
515,1.032000,31.495660
516,1.034000,31.495558
517,1.036000,31.495512
518,1.038000,31.495516
519,1.040000,31.495567
520,1.042000,31.495660
521,1.044000,31.495789
522,1.046000,31.495949
523,1.048000,31.496133
524,1.050000,31.496338
525,1.052000,31.496556
526,1.054000,31.496783
527,1.056000,31.497015
528,1.058000,31.497246
529,1.060000,31.497474
530,1.062000,31.497694
531,1.064000,31.497904
532,1.066000,31.498102
533,1.068000,31.498284
534,1.070000,31.498451
535,1.072000,31.498601
536,1.074000,31.498734
537,1.076000,31.498849
538,1.078000,31.498946
539,1.080000,31.499027
540,1.082000,31.499092
541,1.084000,31.499141
542,1.086000,31.499177
543,1.088000,31.499200
544,1.090000,31.499211
545,1.092000,31.499213
546,1.094000,31.499206
547,1.096000,31.499193
548,1.098000,31.499174
549,1.100000,31.499151
550,1.102000,31.499125
551,1.104000,31.499097
552,1.106000,31.499068
553,1.108000,31.499040
554,1.110000,31.499013
555,1.112000,31.498987
556,1.114000,31.498964
557,1.116000,31.498943
558,1.118000,31.498926
559,1.120000,31.498911
560,1.122000,31.498900
561,1.124000,31.498893
562,1.126000,31.498889
563,1.128000,31.498888
564,1.130000,31.498890
565,1.132000,31.498894
566,1.134000,31.498902
567,1.136000,31.498911
568,1.138000,31.498923
569,1.140000,31.498936
570,1.142000,31.498950
571,1.144000,31.498965
572,1.146000,31.498981
573,1.148000,31.498997
574,1.150000,31.499013
575,1.152000,31.499029
576,1.154000,31.499045
577,1.156000,31.499060
578,1.158000,31.499074
