NO.,Time,Value,Pressure
???果:, Maximum:274N, Minimum:0N, Average:20.03N
1560,오후 8:26:31,0 N,0.0000MPa
1559,오후 8:26:31,0 N,0.0000MPa
1558,오후 8:26:31,0 N,0.0000MPa
1557,오후 8:26:31,0 N,0.0000MPa
1556,오후 8:26:31,0 N,0.0000MPa
1555,오후 8:26:30,0 N,0.0000MPa
1554,오후 8:26:30,0 N,0.0000MPa
1553,오후 8:26:30,0 N,0.0000MPa
1552,오후 8:26:30,0 N,0.0000MPa
1551,오후 8:26:30,0 N,0.0000MPa
1550,오후 8:26:29,0 N,0.0000MPa
1549,오후 8:26:29,0 N,0.0000MPa
1548,오후 8:26:29,0 N,0.0000MPa
1547,오후 8:26:29,0 N,0.0000MPa
1546,오후 8:26:29,0 N,0.0000MPa
1545,오후 8:26:29,0 N,0.0000MPa
1544,오후 8:26:28,0 N,0.0000MPa
1543,오후 8:26:28,0 N,0.0000MPa
1542,오후 8:26:28,0 N,0.0000MPa
1541,오후 8:26:28,0 N,0.0000MPa
1540,오후 8:26:28,0 N,0.0000MPa
1539,오후 8:26:27,0 N,0.0000MPa
1538,오후 8:26:27,0 N,0.0000MPa
1537,오후 8:26:27,0 N,0.0000MPa
1536,오후 8:26:27,0 N,0.0000MPa
1535,오후 8:26:27,0 N,0.0000MPa
1534,오후 8:26:27,0 N,0.0000MPa
1533,오후 8:26:26,0 N,0.0000MPa
1532,오후 8:26:26,0 N,0.0000MPa
1531,오후 8:26:26,0 N,0.0000MPa
1530,오후 8:26:26,0 N,0.0000MPa
1529,오후 8:26:26,0 N,0.0000MPa
1528,오후 8:26:25,0 N,0.0000MPa
1527,오후 8:26:25,0 N,0.0000MPa
1526,오후 8:26:25,0 N,0.0000MPa
1525,오후 8:26:25,0 N,0.0000MPa
1524,오후 8:26:25,0 N,0.0000MPa
1523,오후 8:26:24,16 N,16.0000MPa
1522,오후 8:26:24,92 N,92.0000MPa
1521,오후 8:26:24,162 N,162.0000MPa
1520,오후 8:26:24,163 N,163.0000MPa
1519,오후 8:26:24,163 N,163.0000MPa
1518,오후 8:26:23,163 N,163.0000MPa
1517,오후 8:26:23,164 N,164.0000MPa
1516,오후 8:26:23,164 N,164.0000MPa
1515,오후 8:26:23,165 N,165.0000MPa
1514,오후 8:26:23,156 N,156.0000MPa
1513,오후 8:26:23,122 N,122.0000MPa
1512,오후 8:26:22,83 N,83.0000MPa
1511,오후 8:26:22,49 N,49.0000MPa
1510,오후 8:26:22,12 N,12.0000MPa
