NO.,Time,Value,Pressure
???果:, Maximum:360N, Minimum:0N, Average:31.20N
743,오후 8:37:39,0 N,0.0000MPa
742,오후 8:37:39,0 N,0.0000MPa
741,오후 8:37:39,0 N,0.0000MPa
740,오후 8:37:39,0 N,0.0000MPa
739,오후 8:37:38,0 N,0.0000MPa
738,오후 8:37:38,0 N,0.0000MPa
737,오후 8:37:38,0 N,0.0000MPa
736,오후 8:37:38,0 N,0.0000MPa
735,오후 8:37:38,0 N,0.0000MPa
734,오후 8:37:38,0 N,0.0000MPa
733,오후 8:37:37,0 N,0.0000MPa
732,오후 8:37:37,0 N,0.0000MPa
731,오후 8:37:37,0 N,0.0000MPa
730,오후 8:37:37,0 N,0.0000MPa
729,오후 8:37:36,0 N,0.0000MPa
728,오후 8:37:36,0 N,0.0000MPa
727,오후 8:37:36,0 N,0.0000MPa
726,오후 8:37:36,0 N,0.0000MPa
725,오후 8:37:36,0 N,0.0000MPa
724,오후 8:37:36,0 N,0.0000MPa
723,오후 8:37:35,0 N,0.0000MPa
722,오후 8:37:35,0 N,0.0000MPa
721,오후 8:37:35,0 N,0.0000MPa
720,오후 8:37:35,0 N,0.0000MPa
719,오후 8:37:35,0 N,0.0000MPa
718,오후 8:37:34,0 N,0.0000MPa
717,오후 8:37:34,0 N,0.0000MPa
716,오후 8:37:34,0 N,0.0000MPa
715,오후 8:37:34,0 N,0.0000MPa
714,오후 8:37:34,0 N,0.0000MPa
713,오후 8:37:33,0 N,0.0000MPa
712,오후 8:37:33,24 N,24.0000MPa
711,오후 8:37:33,85 N,85.0000MPa
710,오후 8:37:33,188 N,188.0000MPa
709,오후 8:37:33,227 N,227.0000MPa
708,오후 8:37:33,228 N,228.0000MPa
707,오후 8:37:32,228 N,228.0000MPa
706,오후 8:37:32,228 N,228.0000MPa
705,오후 8:37:32,229 N,229.0000MPa
704,오후 8:37:32,229 N,229.0000MPa
703,오후 8:37:32,205 N,205.0000MPa
702,오후 8:37:31,163 N,163.0000MPa
701,오후 8:37:31,110 N,110.0000MPa
700,오후 8:37:31,49 N,49.0000MPa
699,오후 8:37:31,11 N,11.0000MPa
698,오후 8:37:31,9 N,9.0000MPa
697,오후 8:37:30,36 N,36.0000MPa
696,오후 8:37:30,108 N,108.0000MPa
695,오후 8:37:30,217 N,217.0000MPa
694,오후 8:37:30,231 N,231.0000MPa
693,오후 8:37:30,231 N,231.0000MPa
692,오후 8:37:30,232 N,232.0000MPa
691,오후 8:37:29,233 N,233.0000MPa
690,오후 8:37:29,231 N,231.0000MPa
689,오후 8:37:29,201 N,201.0000MPa
688,오후 8:37:29,165 N,165.0000MPa
687,오후 8:37:29,118 N,118.0000MPa
686,오후 8:37:28,72 N,72.0000MPa
685,오후 8:37:28,41 N,41.0000MPa
684,오후 8:37:28,13 N,13.0000MPa
683,오후 8:37:28,2 N,2.0000MPa
682,오후 8:37:28,0 N,0.0000MPa
681,오후 8:37:27,0 N,0.0000MPa
680,오후 8:37:27,0 N,0.0000MPa
679,오후 8:37:27,0 N,0.0000MPa
678,오후 8:37:27,0 N,0.0000MPa
677,오후 8:37:27,0 N,0.0000MPa
676,오후 8:37:27,0 N,0.0000MPa
675,오후 8:37:26,0 N,0.0000MPa
674,오후 8:37:26,0 N,0.0000MPa
673,오후 8:37:26,0 N,0.0000MPa
672,오후 8:37:26,0 N,0.0000MPa
671,오후 8:37:26,0 N,0.0000MPa
670,오후 8:37:25,0 N,0.0000MPa
669,오후 8:37:25,0 N,0.0000MPa
668,오후 8:37:25,0 N,0.0000MPa
667,오후 8:37:25,0 N,0.0000MPa
666,오후 8:37:25,0 N,0.0000MPa
665,오후 8:37:24,0 N,0.0000MPa
664,오후 8:37:24,0 N,0.0000MPa
663,오후 8:37:24,0 N,0.0000MPa
662,오후 8:37:24,0 N,0.0000MPa
661,오후 8:37:24,0 N,0.0000MPa
660,오후 8:37:24,0 N,0.0000MPa
659,오후 8:37:23,0 N,0.0000MPa
658,오후 8:37:23,0 N,0.0000MPa
657,오후 8:37:23,0 N,0.0000MPa
656,오후 8:37:23,0 N,0.0000MPa
655,오후 8:37:23,0 N,0.0000MPa
654,오후 8:37:22,0 N,0.0000MPa
653,오후 8:37:22,0 N,0.0000MPa
652,오후 8:37:22,0 N,0.0000MPa
651,오후 8:37:22,0 N,0.0000MPa
650,오후 8:37:22,0 N,0.0000MPa
