NO.,Time,Value,Pressure
???果:, Maximum:349N, Minimum:0N, Average:34.76N
132,오후 9:12:54,0 N,0.0000MPa
131,오후 9:12:53,0 N,0.0000MPa
130,오후 9:12:53,0 N,0.0000MPa
129,오후 9:12:53,0 N,0.0000MPa
128,오후 9:12:53,0 N,0.0000MPa
127,오후 9:12:53,0 N,0.0000MPa
126,오후 9:12:52,0 N,0.0000MPa
125,오후 9:12:52,0 N,0.0000MPa
124,오후 9:12:52,0 N,0.0000MPa
123,오후 9:12:52,0 N,0.0000MPa
122,오후 9:12:52,0 N,0.0000MPa
121,오후 9:12:51,0 N,0.0000MPa
120,오후 9:12:51,0 N,0.0000MPa
119,오후 9:12:51,0 N,0.0000MPa
118,오후 9:12:51,0 N,0.0000MPa
117,오후 9:12:51,0 N,0.0000MPa
116,오후 9:12:51,0 N,0.0000MPa
115,오후 9:12:50,0 N,0.0000MPa
114,오후 9:12:50,0 N,0.0000MPa
113,오후 9:12:50,0 N,0.0000MPa
112,오후 9:12:50,0 N,0.0000MPa
111,오후 9:12:50,0 N,0.0000MPa
110,오후 9:12:49,0 N,0.0000MPa
109,오후 9:12:49,0 N,0.0000MPa
108,오후 9:12:49,0 N,0.0000MPa
107,오후 9:12:49,0 N,0.0000MPa
106,오후 9:12:49,0 N,0.0000MPa
105,오후 9:12:48,0 N,0.0000MPa
104,오후 9:12:48,0 N,0.0000MPa
103,오후 9:12:48,0 N,0.0000MPa
102,오후 9:12:48,0 N,0.0000MPa
101,오후 9:12:48,0 N,0.0000MPa
100,오후 9:12:47,0 N,0.0000MPa
99,오후 9:12:47,0 N,0.0000MPa
98,오후 9:12:47,0 N,0.0000MPa
97,오후 9:12:47,0 N,0.0000MPa
96,오후 9:12:47,0 N,0.0000MPa
95,오후 9:12:47,0 N,0.0000MPa
94,오후 9:12:46,0 N,0.0000MPa
93,오후 9:12:46,0 N,0.0000MPa
92,오후 9:12:46,0 N,0.0000MPa
91,오후 9:12:46,0 N,0.0000MPa
90,오후 9:12:46,0 N,0.0000MPa
89,오후 9:12:45,0 N,0.0000MPa
88,오후 9:12:45,0 N,0.0000MPa
87,오후 9:12:45,0 N,0.0000MPa
86,오후 9:12:45,0 N,0.0000MPa
85,오후 9:12:45,0 N,0.0000MPa
84,오후 9:12:45,0 N,0.0000MPa
83,오후 9:12:44,0 N,0.0000MPa
82,오후 9:12:44,0 N,0.0000MPa
81,오후 9:12:44,0 N,0.0000MPa
