NO.,Time,Value,Pressure
???果:, Maximum:271N, Minimum:0N, Average:20.78N
2305,오후 8:31:12,0 N,0.0000MPa
2304,오후 8:31:12,0 N,0.0000MPa
2303,오후 8:31:11,0 N,0.0000MPa
2302,오후 8:31:11,0 N,0.0000MPa
2301,오후 8:31:11,0 N,0.0000MPa
2300,오후 8:31:11,0 N,0.0000MPa
2299,오후 8:31:11,0 N,0.0000MPa
2298,오후 8:31:11,0 N,0.0000MPa
2297,오후 8:31:10,0 N,0.0000MPa
2296,오후 8:31:10,0 N,0.0000MPa
2295,오후 8:31:10,0 N,0.0000MPa
2294,오후 8:31:10,0 N,0.0000MPa
2293,오후 8:31:10,0 N,0.0000MPa
2292,오후 8:31:09,0 N,0.0000MPa
2291,오후 8:31:09,0 N,0.0000MPa
2290,오후 8:31:09,0 N,0.0000MPa
2289,오후 8:31:09,0 N,0.0000MPa
2288,오후 8:31:09,0 N,0.0000MPa
2287,오후 8:31:09,0 N,0.0000MPa
2286,오후 8:31:08,0 N,0.0000MPa
2285,오후 8:31:08,0 N,0.0000MPa
2284,오후 8:31:08,0 N,0.0000MPa
2283,오후 8:31:08,0 N,0.0000MPa
2282,오후 8:31:08,0 N,0.0000MPa
2281,오후 8:31:07,0 N,0.0000MPa
2280,오후 8:31:07,0 N,0.0000MPa
2279,오후 8:31:07,0 N,0.0000MPa
2278,오후 8:31:07,0 N,0.0000MPa
2277,오후 8:31:07,0 N,0.0000MPa
2276,오후 8:31:06,0 N,0.0000MPa
2275,오후 8:31:06,0 N,0.0000MPa
2274,오후 8:31:06,0 N,0.0000MPa
2273,오후 8:31:06,0 N,0.0000MPa
2272,오후 8:31:06,0 N,0.0000MPa
2271,오후 8:31:05,0 N,0.0000MPa
2270,오후 8:31:05,0 N,0.0000MPa
2269,오후 8:31:05,0 N,0.0000MPa
2268,오후 8:31:05,0 N,0.0000MPa
2267,오후 8:31:05,0 N,0.0000MPa
2266,오후 8:31:05,0 N,0.0000MPa
2265,오후 8:31:04,0 N,0.0000MPa
2264,오후 8:31:04,0 N,0.0000MPa
2263,오후 8:31:04,15 N,15.0000MPa
2262,오후 8:31:04,84 N,84.0000MPa
2261,오후 8:31:04,196 N,196.0000MPa
2260,오후 8:31:03,254 N,254.0000MPa
2259,오후 8:31:03,254 N,254.0000MPa
2258,오후 8:31:03,255 N,255.0000MPa
2257,오후 8:31:03,255 N,255.0000MPa
2256,오후 8:31:03,256 N,256.0000MPa
2255,오후 8:31:02,257 N,257.0000MPa
2254,오후 8:31:02,234 N,234.0000MPa
2253,오후 8:31:02,205 N,205.0000MPa
2252,오후 8:31:02,151 N,151.0000MPa
2251,오후 8:31:02,97 N,97.0000MPa
2250,오후 8:31:02,49 N,49.0000MPa
2249,오후 8:31:01,19 N,19.0000MPa
2248,오후 8:31:01,6 N,6.0000MPa
2247,오후 8:31:01,0 N,0.0000MPa
2246,오후 8:31:01,0 N,0.0000MPa
2245,오후 8:31:01,0 N,0.0000MPa
2244,오후 8:31:00,0 N,0.0000MPa
2243,오후 8:31:00,0 N,0.0000MPa
2242,오후 8:31:00,0 N,0.0000MPa
2241,오후 8:31:00,0 N,0.0000MPa
2240,오후 8:31:00,0 N,0.0000MPa
2239,오후 8:30:59,0 N,0.0000MPa
2238,오후 8:30:59,0 N,0.0000MPa
2237,오후 8:30:59,0 N,0.0000MPa
2236,오후 8:30:59,0 N,0.0000MPa
2235,오후 8:30:59,0 N,0.0000MPa
2234,오후 8:30:59,0 N,0.0000MPa
2233,오후 8:30:58,0 N,0.0000MPa
2232,오후 8:30:58,0 N,0.0000MPa
2231,오후 8:30:58,0 N,0.0000MPa
2230,오후 8:30:58,0 N,0.0000MPa
2229,오후 8:30:58,0 N,0.0000MPa
2228,오후 8:30:57,0 N,0.0000MPa
2227,오후 8:30:57,0 N,0.0000MPa
2226,오후 8:30:57,0 N,0.0000MPa
2225,오후 8:30:57,0 N,0.0000MPa
2224,오후 8:30:57,0 N,0.0000MPa
2223,오후 8:30:56,0 N,0.0000MPa
2222,오후 8:30:56,0 N,0.0000MPa
2221,오후 8:30:56,0 N,0.0000MPa
2220,오후 8:30:56,0 N,0.0000MPa
2219,오후 8:30:56,0 N,0.0000MPa
2218,오후 8:30:55,0 N,0.0000MPa
2217,오후 8:30:55,0 N,0.0000MPa
2216,오후 8:30:55,0 N,0.0000MPa
2215,오후 8:30:55,0 N,0.0000MPa
2214,오후 8:30:55,0 N,0.0000MPa
2213,오후 8:30:55,0 N,0.0000MPa
2212,오후 8:30:54,0 N,0.0000MPa
2211,오후 8:30:54,0 N,0.0000MPa
2210,오후 8:30:54,0 N,0.0000MPa
2209,오후 8:30:54,0 N,0.0000MPa
2208,오후 8:30:54,0 N,0.0000MPa
2207,오후 8:30:53,0 N,0.0000MPa
2206,오후 8:30:53,0 N,0.0000MPa
2205,오후 8:30:53,0 N,0.0000MPa
2204,오후 8:30:53,0 N,0.0000MPa
2203,오후 8:30:53,0 N,0.0000MPa
2202,오후 8:30:53,0 N,0.0000MPa
2201,오후 8:30:52,0 N,0.0000MPa
2200,오후 8:30:52,0 N,0.0000MPa
2199,오후 8:30:52,0 N,0.0000MPa
2198,오후 8:30:52,0 N,0.0000MPa
2197,오후 8:30:52,0 N,0.0000MPa
2196,오후 8:30:51,0 N,0.0000MPa
2195,오후 8:30:51,0 N,0.0000MPa
2194,오후 8:30:51,0 N,0.0000MPa
2193,오후 8:30:51,0 N,0.0000MPa
2192,오후 8:30:51,0 N,0.0000MPa
2191,오후 8:30:50,0 N,0.0000MPa
2190,오후 8:30:50,0 N,0.0000MPa
2189,오후 8:30:50,0 N,0.0000MPa
2188,오후 8:30:50,0 N,0.0000MPa
2187,오후 8:30:50,0 N,0.0000MPa
2186,오후 8:30:49,0 N,0.0000MPa
2185,오후 8:30:49,0 N,0.0000MPa
2184,오후 8:30:49,0 N,0.0000MPa
2183,오후 8:30:49,0 N,0.0000MPa
2182,오후 8:30:49,0 N,0.0000MPa
2181,오후 8:30:49,0 N,0.0000MPa
2180,오후 8:30:48,0 N,0.0000MPa
2179,오후 8:30:48,0 N,0.0000MPa
2178,오후 8:30:48,0 N,0.0000MPa
2177,오후 8:30:48,0 N,0.0000MPa
2176,오후 8:30:48,0 N,0.0000MPa
2175,오후 8:30:47,0 N,0.0000MPa
2174,오후 8:30:47,0 N,0.0000MPa
2173,오후 8:30:47,0 N,0.0000MPa
2172,오후 8:30:47,0 N,0.0000MPa
2171,오후 8:30:47,0 N,0.0000MPa
2170,오후 8:30:46,0 N,0.0000MPa
2169,오후 8:30:46,0 N,0.0000MPa
2168,오후 8:30:46,0 N,0.0000MPa
2167,오후 8:30:46,0 N,0.0000MPa
2166,오후 8:30:46,0 N,0.0000MPa
2165,오후 8:30:46,0 N,0.0000MPa
2164,오후 8:30:45,0 N,0.0000MPa
2163,오후 8:30:45,0 N,0.0000MPa
2162,오후 8:30:45,0 N,0.0000MPa
2161,오후 8:30:45,0 N,0.0000MPa
2160,오후 8:30:45,0 N,0.0000MPa
2159,오후 8:30:44,0 N,0.0000MPa
2158,오후 8:30:44,0 N,0.0000MPa
2157,오후 8:30:44,0 N,0.0000MPa
2156,오후 8:30:44,0 N,0.0000MPa
2155,오후 8:30:44,0 N,0.0000MPa
2154,오후 8:30:43,0 N,0.0000MPa
2153,오후 8:30:43,0 N,0.0000MPa
2152,오후 8:30:43,0 N,0.0000MPa
2151,오후 8:30:43,0 N,0.0000MPa
2150,오후 8:30:43,0 N,0.0000MPa
2149,오후 8:30:43,0 N,0.0000MPa
2148,오후 8:30:42,0 N,0.0000MPa
2147,오후 8:30:42,0 N,0.0000MPa
2146,오후 8:30:42,0 N,0.0000MPa
2145,오후 8:30:42,0 N,0.0000MPa
2144,오후 8:30:42,0 N,0.0000MPa
2143,오후 8:30:41,0 N,0.0000MPa
2142,오후 8:30:41,0 N,0.0000MPa
2141,오후 8:30:41,0 N,0.0000MPa
2140,오후 8:30:41,0 N,0.0000MPa
